logProt,logRvar
2.9050424,1.6004283
3.0846937,1.6396856
3.5480363,1.3838154
3.1938522,1.507181
3.2021356,1.2335038
3.8674352,1.5193028
3.9091814,1.0916669
4.086887,1.4048337
3.6588848,1.1401937
4.177522,1.1248301
3.8990939,1.3567904
4.198183,1.2513949
4.474763,1.4410664
4.010838,1.1189257
3.6769836,1.4590908
4.1150527,1.4199557
4.131635,1.1218879
3.800488,1.1972805
3.122511,1.5162709
3.0816514,1.3238707
3.2724516,1.5433229
3.8828273,1.1550323
4.036046,1.1610683
3.9150398,1.1852587
3.410927,1.5373152
3.3091464,1.4920616
3.4500678,1.4048337
3.3662083,1.4801507
3.2325373,1.3055663
2.988098,1.5313512
3.7750478,1.269513
3.2057006,1.5975856
3.6859097,1.2513949
3.5497892,1.5373152
3.3533576,1.4951279
3.994412,1.3265407
3.4972775,1.5403295
3.316826,1.5734519
3.542909,1.278525
3.9357097,1.1099159
3.9276628,1.3055663
3.9990091,1.1068705
3.6607652,1.4169732
3.2429967,1.2966652
3.8912003,1.2273724
3.2304919,1.2875777
3.7263365,1.594503
3.556777,1.5193028
3.6616712,1.2633994
3.8143606,1.1370374
3.5538232,1.1370374
3.0583136,1.5193028
4.625181,0.9894498
3.7897604,1.2935835
3.1513808,1.5734519
3.485097,1.5132176
3.4747095,1.11294
3.758036,1.3055663
3.607422,1.5223138
3.8414314,1.3988078
3.0376937,1.6005373
4.3862166,1.2875777
3.8894246,1.3747483
3.9461462,1.3988078
3.9934218,1.1699681
2.942883,1.6366885
3.9110963,1.2574385
4.1154113,1.1580608
4.114303,1.1218879
4.510924,0.38738984
3.4170632,1.2966652
3.4810085,1.4590908
3.2650805,1.3508292
3.701197,1.0618293
4.18579,1.0856473
